Location,2012,2013,2014,2015,2016,2017*,2018*,2019,2020,2021,2022,2023
Tennessee,54610.0,66555.0,73327.0,88017.0,97110.0,105529.0,108144.0,111426.0,120387.0,138305.0,119350.0,95906.0
Anderson,572.0,649.0,676.0,824.0,924.0,977.0,1064.0,1081.0,1301.0,1608.0,1430.0,988.0
Bedford,293.0,387.0,495.0,607.0,725.0,769.0,818.0,823.0,897.0,1025.0,827.0,828.0
Benton,99.0,137.0,126.0,139.0,139.0,160.0,180.0,148.0,196.0,233.0,214.0,174.0
Bledsoe,31.0,45.0,41.0,55.0,63.0,52.0,64.0,66.0,83.0,70.0,96.0,77.0
Blount,972.0,1298.0,1407.0,1671.0,1889.0,2284.0,2375.0,2391.0,2607.0,2834.0,1922.0,1663.0
Bradley,702.0,924.0,980.0,1144.0,1328.0,1407.0,1537.0,1598.0,1858.0,2065.0,1747.0,1460.0
Campbell,195.0,213.0,266.0,308.0,398.0,410.0,407.0,473.0,597.0,604.0,569.0,449.0
Cannon,89.0,97.0,114.0,132.0,146.0,178.0,152.0,187.0,194.0,187.0,201.0,154.0
Carroll,171.0,186.0,180.0,215.0,232.0,257.0,254.0,251.0,313.0,356.0,320.0,315.0
Carter,304.0,326.0,379.0,475.0,500.0,610.0,611.0,620.0,748.0,883.0,753.0,555.0
Cheatham,317.0,385.0,428.0,557.0,623.0,656.0,665.0,696.0,879.0,765.0,741.0,603.0
Chester,108.0,118.0,132.0,142.0,166.0,188.0,164.0,201.0,194.0,175.0,201.0,131.0
Claiborne,122.0,152.0,143.0,197.0,212.0,264.0,290.0,291.0,325.0,373.0,368.0,285.0
Clay,35.0,32.0,40.0,42.0,67.0,52.0,70.0,74.0,62.0,63.0,67.0,60.0
Cocke,130.0,139.0,154.0,192.0,231.0,252.0,275.0,298.0,328.0,400.0,389.0,292.0
Coffee,432.0,537.0,569.0,713.0,874.0,872.0,954.0,932.0,911.0,1049.0,934.0,745.0
Crockett,99.0,97.0,103.0,124.0,116.0,125.0,149.0,160.0,177.0,185.0,209.0,142.0
Cumberland,532.0,652.0,731.0,857.0,891.0,1127.0,1195.0,1120.0,1156.0,1237.0,1249.0,944.0
Davidson,6876.0,8955.0,10867.0,13341.0,13599.0,14555.0,14868.0,15303.0,15684.0,18767.0,14498.0,11458.0
Decatur,79.0,79.0,62.0,94.0,114.0,117.0,121.0,130.0,165.0,195.0,136.0,132.0
DeKalb,119.0,125.0,178.0,195.0,228.0,296.0,340.0,281.0,316.0,439.0,413.0,326.0
Dickson,377.0,482.0,593.0,671.0,797.0,803.0,828.0,905.0,1017.0,1158.0,1048.0,889.0
Dyer,264.0,335.0,373.0,380.0,406.0,448.0,398.0,406.0,470.0,485.0,435.0,382.0
Fayette,340.0,442.0,542.0,555.0,655.0,743.0,719.0,771.0,972.0,1114.0,931.0,702.0
Fentress,82.0,99.0,137.0,125.0,160.0,182.0,156.0,186.0,257.0,274.0,252.0,235.0
Franklin,275.0,341.0,379.0,473.0,514.0,553.0,645.0,627.0,813.0,885.0,780.0,633.0
Gibson,409.0,461.0,470.0,510.0,535.0,652.0,643.0,713.0,796.0,964.0,803.0,643.0
Giles,161.0,182.0,209.0,248.0,234.0,282.0,286.0,258.0,272.0,354.0,412.0,301.0
Grainger,89.0,99.0,102.0,116.0,105.0,145.0,129.0,149.0,236.0,270.0,253.0,216.0
Greene,293.0,384.0,494.0,562.0,627.0,651.0,653.0,758.0,864.0,893.0,914.0,826.0
Grundy,61.0,66.0,60.0,63.0,66.0,91.0,69.0,75.0,90.0,141.0,180.0,112.0
Hamblen,362.0,420.0,493.0,634.0,685.0,731.0,861.0,828.0,913.0,1051.0,967.0,856.0
Hamilton,3683.0,3846.0,4459.0,5104.0,6010.0,6365.0,6623.0,6968.0,7310.0,8677.0,7404.0,6091.0
Hancock,22.0,20.0,23.0,31.0,22.0,28.0,35.0,32.0,52.0,48.0,61.0,39.0
Hardeman,82.0,61.0,95.0,93.0,133.0,146.0,119.0,145.0,172.0,228.0,230.0,173.0
Hardin,245.0,252.0,265.0,309.0,334.0,394.0,351.0,403.0,547.0,554.0,477.0,422.0
Hawkins,253.0,338.0,381.0,393.0,442.0,550.0,544.0,533.0,649.0,774.0,660.0,590.0
Haywood,75.0,82.0,60.0,80.0,105.0,95.0,125.0,94.0,147.0,242.0,187.0,126.0
Henderson,155.0,157.0,162.0,197.0,226.0,249.0,255.0,246.0,298.0,318.0,271.0,219.0
Henry,274.0,271.0,298.0,317.0,306.0,365.0,361.0,345.0,407.0,529.0,416.0,326.0
Hickman,78.0,83.0,111.0,207.0,198.0,153.0,198.0,210.0,232.0,178.0,166.0,176.0
Houston,38.0,43.0,51.0,60.0,68.0,87.0,52.0,67.0,74.0,98.0,91.0,71.0
Humphreys,118.0,146.0,166.0,162.0,187.0,191.0,220.0,191.0,214.0,279.0,257.0,218.0
Jackson,41.0,83.0,67.0,83.0,99.0,117.0,96.0,112.0,103.0,117.0,147.0,104.0
Jefferson,327.0,398.0,496.0,590.0,625.0,686.0,764.0,731.0,848.0,1003.0,962.0,859.0
Johnson,54.0,99.0,96.0,92.0,76.0,117.0,85.0,152.0,217.0,79.0,177.0,78.0
Knox,4371.0,4985.0,5995.0,7858.0,8272.0,9512.0,9590.0,9622.0,10367.0,11452.0,9486.0,7625.0
Lake,23.0,23.0,32.0,25.0,33.0,37.0,19.0,28.0,48.0,60.0,59.0,31.0
Lauderdale,94.0,112.0,118.0,125.0,144.0,159.0,150.0,142.0,179.0,265.0,240.0,153.0
Lawrence,325.0,340.0,401.0,409.0,486.0,489.0,410.0,476.0,605.0,678.0,704.0,512.0
Lewis,61.0,52.0,74.0,74.0,91.0,100.0,101.0,126.0,161.0,202.0,189.0,156.0
Lincoln,235.0,274.0,276.0,300.0,373.0,438.0,465.0,445.0,511.0,546.0,482.0,377.0
Loudon,415.0,565.0,646.0,760.0,909.0,971.0,1027.0,1074.0,1270.0,1335.0,1503.0,1209.0
Macon,156.0,238.0,486.0,266.0,300.0,321.0,346.0,337.0,416.0,425.0,372.0,354.0
Madison,931.0,989.0,1118.0,1140.0,1305.0,1450.0,1569.0,1718.0,1813.0,1705.0,1651.0,1310.0
Marion,122.0,120.0,159.0,159.0,188.0,243.0,265.0,230.0,307.0,359.0,363.0,292.0
Marshall,200.0,263.0,383.0,474.0,518.0,659.0,451.0,453.0,532.0,797.0,802.0,627.0
Maury,820.0,1105.0,1474.0,1751.0,2067.0,2361.0,2363.0,2482.0,3016.0,3148.0,3017.0,2272.0
McMinn,252.0,295.0,374.0,427.0,498.0,539.0,602.0,620.0,753.0,936.0,747.0,800.0
McNairy,138.0,144.0,152.0,190.0,170.0,211.0,229.0,189.0,277.0,291.0,280.0,230.0
Meigs,47.0,48.0,52.0,63.0,68.0,102.0,81.0,85.0,80.0,130.0,109.0,97.0
Monroe,234.0,302.0,300.0,326.0,445.0,517.0,547.0,561.0,564.0,614.0,611.0,551.0
Montgomery,3005.0,2836.0,2471.0,2938.0,3613.0,3793.0,4676.0,4022.0,5609.0,6573.0,5934.0,3961.0
Moore,37.0,36.0,29.0,35.0,64.0,71.0,58.0,52.0,63.0,78.0,67.0,57.0
Morgan,66.0,84.0,72.0,116.0,96.0,103.0,131.0,145.0,117.0,193.0,181.0,139.0
Obion,183.0,192.0,238.0,253.0,281.0,267.0,311.0,331.0,336.0,476.0,346.0,313.0
Overton,100.0,158.0,169.0,152.0,184.0,227.0,235.0,232.0,292.0,309.0,237.0,237.0
Perry,41.0,34.0,50.0,64.0,54.0,60.0,61.0,63.0,70.0,102.0,79.0,83.0
Pickett,25.0,53.0,59.0,62.0,53.0,63.0,77.0,64.0,77.0,69.0,53.0,66.0
Polk,69.0,60.0,76.0,95.0,116.0,128.0,131.0,145.0,135.0,168.0,198.0,160.0
Putnam,673.0,773.0,861.0,932.0,979.0,1056.0,1030.0,1088.0,1194.0,1227.0,1059.0,898.0
Rhea,135.0,147.0,171.0,249.0,292.0,288.0,309.0,308.0,376.0,436.0,372.0,289.0
Roane,267.0,278.0,338.0,445.0,505.0,561.0,644.0,707.0,809.0,971.0,902.0,765.0
Robertson,517.0,705.0,728.0,988.0,1138.0,1250.0,1053.0,1199.0,1236.0,1545.0,1525.0,1297.0
Rutherford,2844.0,4648.0,4317.0,6664.0,7507.0,7579.0,7415.0,7819.0,7165.0,9343.0,7577.0,6145.0
Scott,35.0,42.0,63.0,76.0,96.0,87.0,90.0,128.0,131.0,139.0,124.0,116.0
Sequatchie,83.0,75.0,67.0,100.0,138.0,123.0,150.0,142.0,194.0,233.0,203.0,159.0
Sevier,843.0,852.0,881.0,1122.0,1323.0,1510.0,1329.0,1474.0,1371.0,1618.0,1356.0,945.0
Shelby,5477.0,6702.0,6640.0,7622.0,8692.0,9125.0,9775.0,10829.0,11333.0,12119.0,11157.0,9099.0
Smith,218.0,298.0,179.0,199.0,240.0,281.0,271.0,218.0,282.0,264.0,274.0,239.0
Stewart,88.0,109.0,101.0,99.0,106.0,144.0,164.0,154.0,136.0,209.0,172.0,134.0
Sullivan,1180.0,1264.0,1351.0,1660.0,1978.0,2254.0,2288.0,2204.0,2768.0,3150.0,2639.0,2316.0
Sumner,1802.0,2670.0,3023.0,3630.0,4189.0,4353.0,3833.0,4049.0,4245.0,5121.0,4546.0,3635.0
Tipton,368.0,426.0,531.0,602.0,739.0,807.0,859.0,886.0,1008.0,1154.0,968.0,827.0
Trousdale,41.0,60.0,73.0,101.0,93.0,149.0,116.0,160.0,146.0,170.0,179.0,165.0
Unicoi,112.0,111.0,111.0,266.0,161.0,175.0,174.0,188.0,204.0,230.0,215.0,149.0
Union,70.0,92.0,127.0,151.0,156.0,204.0,191.0,190.0,209.0,231.0,196.0,166.0
Van Buren,32.0,28.0,42.0,32.0,42.0,47.0,44.0,61.0,67.0,66.0,87.0,87.0
Warren,289.0,311.0,313.0,333.0,390.0,444.0,511.0,513.0,524.0,570.0,565.0,491.0
Washington,1231.0,1216.0,1452.0,1690.0,1915.0,2051.0,2149.0,2270.0,2358.0,2822.0,2311.0,1844.0
Wayne,49.0,61.0,55.0,78.0,80.0,91.0,100.0,97.0,119.0,141.0,144.0,94.0
Weakley,217.0,230.0,230.0,254.0,270.0,292.0,316.0,341.0,364.0,419.0,362.0,270.0
White,206.0,237.0,242.0,287.0,280.0,295.0,330.0,344.0,390.0,371.0,409.0,374.0
Williamson,3907.0,5014.0,5160.0,5791.0,5830.0,5997.0,6110.0,6066.0,5302.0,6463.0,4675.0,4214.0
Wilson,1541.0,2175.0,2414.0,2505.0,2563.0,3113.0,3230.0,3320.0,3897.0,4156.0,3858.0,2508.0
