Year,,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,DeKalb,Decatur,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,Macon,Madison,Marion,Marshall,Maury,McMinn,McNairy,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tennessee,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
2012,,124947.5,100000,78000,114900,166000,141000,118500,107000,63500,102600,154000,98450,121500,65000,98525,114250,80000,140000,182000,106000,82400,130000,109000,189900,94250,121000,100000,76500,115000,115000,72900,126000,174000,73000,79750,110000,122000,96000,95000,85000,90000,75800,86500,75000,142000,93000,175000,40000,74750,79900,65000,92000,195900,89700,125000,114050,103950,150500,116950,77250,160000,128000,160000,125000,78000,81500,87500,65000,160000,110000,132000,123000,132000,149000,162500,79500,137500,150900,169280,92500,120000,130000,183250,160000,135000,102500,119000,111750,94750,85000,159000,71000,86900,90750,334899,206000
2013,,124000,109900,72000,80000,170000,138000,119000,115000,67500,114800,159951,112450,115750,58750,106000,114000,74468,145000,190550,96000,71000,135000,110000,199900,90500,117000,113500,94950,124000,119800,75000,127000,175000,69500,72000,114000,120000,104557,97500,94500,115000,85000,91150,81500,134900,115000,167500,57500,71000,86250,91500,99500,220000,75000,127900,119500,106000,155000,105800,79400,111075,115000,164000,130500,85000,79700,107300,72500,115000,104407.5,136000,128000,141250,154000,162500,68500,118000,153000,176000,90000,118000,133250,195841.5,165000,144950,121250,114000,119000,135000,88000,161500,71000,79000,95500,355000,227000
2014,,130000,115000,78150,95000,169000,144900,105000,121500,67500,103500,156500,98450,105700,83250,112750,120000,77700,140000,204355,95750,67500,139900,101500,187000,102000,127995,105000,96000,136950,114950,82000,128000,175550,80000,85000,103500,118000,87750,98750,99975,113000,95000,90000,85000,136000,120750,174900,58125,72250,85000,105000,99250,225400,82000,120000,130000,108500,159900,113500,77023.5,126500,121700,158000,125000,102850,79000,104000,70750,100000,144250,136000,127725,144170,165000,163000,75000,125000,150000,172290,97500,115000,132000,204000,166000,144900,109900,123500,130000,89500,93900,156200,65000,88000,101175,370218.5,234000
2015,,130000,120000,75000,105900,170000,150000,119950,125000,72500,111000,160000,113150,117750,73000,119500,124000,79750,143000,222000,114000,80000,145000,109000,206000,90000,134394,109000,99000,141500,110250,89000,129000,182000,72900,84900,110000,118000,99950,89000,100000,116000,102000,92750,84000,139950,115000,168475,51900,80000,92500,109200,106575,222500,88454.5,124900,142000,121525,175000,119000,84750,159500,125000,168000,139000,91500,80000,109950,58150,109000,130000,138650,124865,132500,164900,182250,92700,133450,155000,179000,100000,119000,132000,214480,175000,139450,124500,119250,123000,112450,85000,157000,70000,81750,109000,390000,241000
2016,,139950,131900,90000,96000,179900,156000,125000,140000,68800,119900,180000,115500,123000,82000,110000,132500,83600,148000,248250,124950,81375,159900,113300,205000,107500,135000,115500,112000,140000,117000,96750,132950,190000,87500,94000,120000,127750,103000,110000,98575,119650,96000,110000,85000,140000,140000,179900,51000,79900,103500,105000,112000,223500,107250,130000,123500,135000,189900,125500,80000,135750,139900,174500,165500,97885.5,89500,120000,71621,110000,121950,148500,135500,145500,183922,199000,84749.5,140000,173000,187500,122050,119000,134000,232400,185000,150000,143500,125000,139450,114750,100000,163200,74100,89000,106000,419000,254950
2017,,136000,149900,84950,105500,187525,165000,135000,150000,79250,118500,199950,116450,120950,77450,118500,137950,99000,152500,265000,129450,90000,179900,115000,219900,109625,143000,102750,105000,139800,123000,92000,136500,199000,74500,88450,124500,130000,116900,115000,95000,116000,92000,114500,85000,149500,111000,182000,57500,82000,105000,102000,113500,255000,121000,135000,127900,155000,215765,125000,81500,170500,142500,181500,155000,119000,85000,125000,92500,137000,133700,168000,140714,153900,192250,230000,95000,144000,177650,185000,129000,135000,132500,257500,196800,158500,155000,116500,139700,126500,109693,167000,58000,90000,124500,445000,289900
2018,,146000,160000,80000,135250,201215,173000,146000,157000,87250,127000,220000,120790,124700,95200,125000,155000,96000,157450,280000,136750,90000,200000,107000,240000,116500,156300,110000,128500,139900,130000,85000,145000,203500,70759,80000,130000,125000,99500,110000,112500,136950,103500,115500,93600,160000,115000,185500,73000,82250,112000,125000,120000,253500,120000,140000,143000,158000,235000,129900,82150,153500,147100,190000,162500,123000,90000,125000,80000,140000,127000,175000,149000,165000,206000,247000,116500,139950,190000,202000,150000,134750,144175,272000,210000,168000,180450,125000,144900,101000,117900,175000,73000,89950,127629,477055,309999
2019,,163000,185000,96250,138750,220000,182500,146000,180000,85000,135000,237220,129900,131000,98500,137625,169900,89500,177250,295000,154900,102250,213900,130500,256360,129900,167000,117000,141000,155000,138975,135435,151000,228000,95000,90000,125000,140000,119450,120000,112500,159450,132000,125000,92750,172500,148500,210000,75000,84000,125000,129500,139000,279950,130000,146000,150000,166200,252995,145000,95400,191500,163000,212500,164450,115000,97500,139450,95000,118900,145000,180000,154750,181290,230000,264990,98950,151000,210000,208000,172000,115500,153500,282000,226000,179100,207480,141000,152950,145000,137000,179850,72500,90000,145000,500000,324062.5
2020,,172000,200000,122750,129000,240000,205000,163000,190500,94000,147400,255000,146350,144000,115000,135000,200000,102000,193600,325000,179700,94000,232500,125750,274900,149900,209900,137850,143600,172450,150000,122450,164900,250800,97500,93400,157500,150000,124400,123450,124000,164500,126200,149950,125000,195223,150000,234000,70000,110000,147500,148000,153127,287450,165000,165000,170000,203750,268453,145000,99900,204500,169000,229900,169000,140000,97250,155500,89950,139700,155000,204000,184000,199900,255980,279900,142000,171250,240000,233000,178700,145500,163000,307000,244900,190000,211250,149000,185000,139900,155000,198000,85000,120000,150000,529355,348000
2021,,222390,235000,140000,171250,284450,235000,184950,235000,116500,173000,312000,165000,168500,140000,175000,230000,129900,245000,365900,206000,125000,269900,144000,300000,174988.5,231000,142612.5,171750,199500,166000,180000,190000,281000,111750,102500,172500,169747,100500,150000,143100,187500,163000,163500,158675,235000,134500,275000,72250,120000,179900,174500,176000,346622,200000,195000,200000,252000,313995,167500,125000,217500,195400,270000,211250,142000,125000,177000,133800,175000,174000,240000,200000,225000,307000,335720,155000,239000,296499.5,260000,215000,163000,180500,352400,283410,225000,269900,165000,208000,180000,189900,230000,110000,128000,189000,665000,400000
2022,,247963.5,290500,139750,193500,336500,273500,210000,264000,125000,199000,350000,183000,200000,140000,210000,279900,134500,275000,429945,254000,144750,315000,140000,339900,229488.5,275000,175000,196500,224900,214000,222450,235000,331677.5,134900,137375,200000,192950,135900,165500,163500,209500,190000,185000,179900,277147.5,215000,325000,75000,123250,199900,195000,198750,374715,251000,219900,215000,300000,385500,200000,145000,250000,239000,310000,268000,172500,135500,210000,148000,239000,216750,294000,238950,260000,360000,405000,165000,220000,349950,285000,250000,180000,212000,415000,325000,259130,310000,188000,268450,218000,225000,270000,120000,145000,231800,835000,438000
2023,,265000,300000,146000,190000,370000,280750,225000,297450,120000,216300,357500,205000,199900,163000,230000,290000,147250,310000,435000,250000,147500,334364,161750,358490,249900,282500,189900,220000,254500,242750,196000,255000,349900,160000,145500,210000,225000,157000,170000,169650,258500,212000,199750,163950,288960,150000,352835,75000,135000,210000,240749.5,222000,468000,239900,237950,244000,304990,389982.5,235000,159950,265000,264000,315000,289000,190000,138298,215000,160000,217500,200000,299900,265000,285000,355000,404000,176000,262500,362000,281000,259000,210000,245322.5,421415,339900,262000,334900,215000,280000,220550,235000,300000,130000,150000,240000,849250,461526.5
